Arabic Sentence,English Translation
لم يجرؤ أحد على التحرك في المنطقة,No one dared move in the area.
انصرفت أنا عائدا إلى الأولاد، لكن بعد دقائق، نادى ماجد علي من النافذة الخشبية لغرفته,"I went back to the boys, but in a few minutes, Magda called me out the wood window of his room."
خلال فترة الخمسينيات منحت الحكومة الكويتية امتيازا جديدا لشركة النفط الأمريكية المستقلة للتنقيب,"During the 1950s, the Kuwaiti government granted a new concession to the American Independent Petroleum Exploration Company."
لقد كبرت، وأستطيع أن أتدبر أموري بنفسي,"I've grown up, and I can handle myself."
ألا يستطيع أحد أن يتكهن ماذا هو فاعل؟,Can't anyone speculate what he's doing?
انتهى شهر وابتدينا في الشهر الجديد على بركة االله,A month ended and we began the new month on God's blessing.
أنا خائف من العلمين ياشيخ مجد، خائف خالص;,"I'm afraid of scientists, Sheikh Majid, purely afraid;"
أنجزت بحوث جامعية حول إنتاجه الشعري في جامعة ابن زهر بأغادير,University research on his poetry production was carried out at Ibn Zahr University in Agadir.
قد ساعدني ذلك على تكوين شخصيتي,It helped me form my character.
يتحمل ذلك في كثير من الصبر والاستسلام والخضوع لحكم الأقدار,"It endures so much patience, surrender, and submit to the rule of destiny."
أتذكر أيضا بوضوح وصفاء وجه أمي الشديد التوتر والاكفهرار ساعة انتقالنا إلى المسكن الجديد,I also remember clearly and quite the face of my mother... extremely tense and penetrating... as we moved into the new home.
كانت تحاول وبكل السبل حماية امن الكيان الصهيوني من خلال احتلال افغانستان بحجة مكافحة الارهاب,She was trying in every way to protect the security of the Zionist entity by occupying Afghanistan under the pretext of combating terrorism.
لاحظت إميلى ذلك، وما إن سألتها حتى أجهشت بالبكاء وحكت لها كل شىء,"Emily noticed that, and as soon as I asked her, she cried and told her everything."
إن الفدائيين الذين لا يرهبون الموت من رصاص أعدائهم لا ينبغي أن يخافوا حكم العدالة من حكومة بلادهم,The guerrillas who do not fear death from the bullets of their enemies should not fear justice from their own government.
نتذكر معا قول الرجل الحكيم للأمير ناصحا: ضع الألفاظ في مواضعها,"Together we remember the wise man saying to the prince: ""Put the words in place."""
شهر رمضان هو شهر عبادة وتقرب إلى االله عز وجل وليس بشهر الموائد والإسراف في;تناول;الطعام,Ramadan is a month of worship and is brought closer to God... and not to the month of tables and waste in; eat; eat.
سمحت لها بتحية أمها العجوز بسرعة ثم جذبتها من يدها إلى حجرتها وأغلقت عليهما الباب,"She allowed her to greet her old mother so quickly, she grabbed her hand into her room and locked them in the door."
سرعة الإنسان مهما كانت لن تفوق سرعة الطائرة,"The speed of the human being, no matter what, will not exceed the speed of the plane."
موضوع واحد لم يختلف عليه البيت الأبيض والحكومة الإيطالية وهو وصف مقتل نيكولا كايباري;بالحادث;المؤسف,One topic on which the White House and the Italian government did not disagree is the description of the murder of Nicolas Cabary; the incident; the unfortunate.
تعرضت تايوان الى هزة أرضية بلغت شدتها ٥٫٤;درجة;بمقياس;ريختر,Taiwan was hit by an earthquake of 5.4 degrees on the scale of Richter.
ظل الباب الخارجى مفتوحا وأنوار المدخل مضاءة,The outside door remained open and the lights on the entrance were on.
أما الهيئة التدريسية التي تقوم بإلقاء المحاضرات والتدريس فتبلغ نحو ١٥٠٠ أستاذ وكلهم من;الجنسية;الجزائرية,"The teaching staff who lecture and teach is approximately 1,500 teachers, all of whom are of Algerian nationality."
هدف المصحة أن تجعل فكرة الموت مقبولة وغير مؤلمة;بالنسبة للمرضى;المحتضرين,"The aim of the asylum is to make the idea of death acceptable and painless for the sick, the dying."
البنية التحتية والمرافق هي من مسئولية بلدية القدس;المحتلة;حاليا,Infrastructure and facilities are the responsibility of the Jerusalem Municipality; occupied; currently
أحمد وعبده ومعاهم مجموعة حايسافروا الصبح,"Ahmed and Abeda, along with the group of Hayesharwa Al-Sab"
انتشر رجال الإطفاء فى أنحاء المبنى وأخذوا يتأكدون من إخلاء كل دور على حدة,"The firefighters spread all over the building, making sure each turn was evacuated."
